question,answer
What is a cardiologist?,"A cardiologist is a medical doctor specializing in heart and cardiovascular diseases. They diagnose and treat conditions like heart attacks, arrhythmias, and hypertension."
Which departments does the hospital have?,"The hospital has 10 departments: Cardiology, Neurology, Orthopedics, Pediatrics, General Medicine, Dental, Dermatology, Ophthalmology, ENT, and General Surgery."
Tell me about the Cardiology department.,"Cardiology specializes in heart-related conditions. Doctors: Dr. Ahmed Hassan, Dr. Fatima Khan, Dr. Usman Malik. Timings: Monday-Friday, 8 AM-5 PM. Fees: Rs. 1500-2000."
What is Neurology?,"Neurology deals with brain and nervous system disorders. Doctors: Dr. Muhammad Ali, Dr. Sara Malik, Dr. Hassan Raza. Timings: Monday-Saturday, 9 AM-6 PM. Fees: Rs. 1200-1800."
Tell me about Orthopedics.,"Orthopedics focuses on bones and joints. Doctors: Dr. Hassan Khan, Dr. Ayesha Ahmed, Dr. Khalid Ibrahim. Timings: Monday-Friday, 10 AM-4 PM. Fees: Rs. 1300-1900."
What services does Pediatrics provide?,"Pediatrics cares for children and provides vaccination services. Doctors: Dr. Bilal Siddiqui, Dr. Hina Rashid, Dr. Zara Hassan. Timings: Monday-Friday, 8 AM-3 PM. Fees: Rs. 1000-1500."
What is General Medicine?,"General Medicine provides primary care and illness management. Doctors: Dr. Imran Sheikh, Dr. Nida Saeed, Dr. Farooq Ahmed. Timings: Monday-Sunday, 7 AM-10 PM. Fees: Rs. 800-1200."
Tell me about Dental services.,"Dental provides comprehensive dental care and cosmetic dentistry. Doctors: Dr. Kamran Aziz, Dr. Zainab Ali, Dr. Rida Mirza. Timings: Monday-Friday, 10 AM-7 PM. Fees: Rs. 1000-1600."
What does Dermatology treat?,"Dermatology handles skin diseases and allergies. Doctors: Dr. Rashid Malik, Dr. Samina Khan, Dr. Aliza Syed. Timings: Tuesday-Saturday, 9 AM-5 PM. Fees: Rs. 1100-1700."
What is Ophthalmology?,"Ophthalmology provides eye care and vision correction. Doctors: Dr. Aamir Khan, Dr. Leila Ahmed, Dr. Nasir Hussain. Timings: Monday-Friday, 11 AM-6 PM. Fees: Rs. 1000-1500."
Tell me about ENT services.,"ENT specializes in ear, nose, and throat conditions. Doctors: Dr. Sohail Ahmed, Dr. Hadia Khan, Dr. Tariq Mehmood. Timings: Wednesday-Sunday, 10 AM-5 PM. Fees: Rs. 900-1400."
